Word;SourceRow;SourceColumn;ElementPosition;OriginalWord
?;413;1;1;gimon
?;389;1;1;actre magon
?;101;1;3;?… des finances
?;128;1;2;"""secrétaire du conseil  de l'inspection publique"""
?;376;1;1;vi de geare
?;21;1;1;huissier du conseil d’État
?;362;1;2;st
?;282;1;1;pigueur|hes verch|louise chemins
?;356;2;1;vi de geare
?;59;1;1;comission
?;355;1;1;angisle
?;108;1;1;les filles du dit ?
?;286;1;2;intrejuilier
?;287;1;2;intrejuilier
?;123;2;1;jon
?;197;1;2;regis son domaine
?;300;1;1;som
?;333;1;2;agri
?;300;1;2;casernier
?;161;1;1;gagne-denier
?;162;1;1;gagne-denier
?;304;1;1;vallendier
?;267;1;2;agri
?;390;1;1;pe la gard
?;321;1;1;faice
?;82;1;1;treillisseur
?;83;1;1;treillisseur
?;258;1;1;firge
?;77;1;1;? ... aveaux
?;213;1;1;ermaliea
?;259;1;1;de peine au chateau?
?;393;1;1;actre magon
?;395;1;1;vi de geare
?;238;2;1;pe la gard
?;409;1;1;jieon
?;248;1;1;pasteur allemand ?
?;400;1;1;vallendier
?;206;1;2;agri
?;93;1;2;?…retain
?;216;1;2;ensent
?;251;2;1;otaire|donnier
?;210;1;1;gour
affranchisseuse;357;1;2;fanchisseuse
agent d'affaires;55;1;2;"""agent d'affaires"""
agent d'affaires;11;2;1;"""agent d'affaires"""
agriculteur;193;1;1;agriculteur
agriculteur;192;1;2;agriculteur
agriculteur;216;2;1;agriculteur
agriculteur;191;1;2;agriculteur
agriculteur;189;2;1;agriculteur
agriculteur;194;1;1;agriculteur
agriculteur;183;2;1;agriculteur
agriculteur;182;2;1;agriculteur
agriculteur;194;2;1;agriculteur
agriculteur;310;1;2;agriculteur
agriculteur;295;1;2;agriculteur
agriculteur;290;1;1;agriculteur
agriculteur;264;2;1;agriculteur
agriculteur;289;1;1;agriculteur
agriculteur;264;1;2;agriculteur
agriculteur;269;1;1;agriculteur
agriculteur;270;1;1;agriculteur
agriculteur;204;1;1;agriculteur
agriculteur;275;1;1;agriculteur
agriculteur;278;1;1;agriculteur
agriculteur;278;2;1;agriculteur
agriculteur;181;2;1;agriculteur
agriculteur;279;2;1;agriculteur
agriculteur;202;1;2;agriculteur
agriculteur;201;1;2;agriculteur
agriculteur;198;2;1;agriculteur
agriculteur;198;1;2;agriculteur
agriculteur;265;1;1;agriculteur
agriculteur;249;1;2;agriculteur
agriculteur;289;2;1;agriculteur
agriculteur;203;1;2;agriculteur
agriculteur;169;2;1;agriculteur
agriculteur;394;1;1;agriculteur
agriculteur;377;1;1;agriculteur
agriculteur;386;1;2;agriculteur
agriculteur;353;1;2;agriculteur
