job,description,source,surface,training duration,hierarchy,physicality,sector,income,categorie
agriculteur,"Un agriculteur ou une agricultrice est une personne qui procède professionnellement ou non à la mise en culture de la terre ou à l'élevage d'animaux. L'agriculteur peut disposer de ses propres parcelles de terres. Il peut, en fonction de l'importance de leurs surfaces, employer des ouvriers agricoles que ce soit de façon permanente ou saisonnière.",https://fr.wikipedia.org/wiki/Agriculteur,high,low,worker,high,primary,low,
agricultrice,"Un agriculteur ou une agricultrice est une personne qui procède professionnellement ou non à la mise en culture de la terre ou à l'élevage d'animaux. L'agriculteur peut disposer de ses propres parcelles de terres. Il peut, en fonction de l'importance de leurs surfaces, employer des ouvriers agricoles que ce soit de façon permanente ou saisonnière.",https://fr.wikipedia.org/wiki/Agriculteur,high,low,worker,high,primary,low,
bucheron,,,high,low,worker,high,primary,low,
carrier,Ouvrier travaillant dans une carrière pour l’extraction de matériaux de construction (pierres),https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,high,low,worker,high,primary,low,
cultivateur,,,high,low,worker,high,primary,low,
fermier,,,high,low,worker,high,primary,low,
forestier,,,high,low,worker,high,primary,low,
jardinier,,,medium,low,worker,high,primary,low,
journalier,Ouvrier se louant à la journée.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,low,low,worker,high,primary,low,
journailier,,,low,low,worker,high,primary,low,
journalier agricole,,,low,low,worker,high,primary,low,
journalier et propriétaire,,,low,low,worker,high,primary,medium,
journalière,,,low,low,worker,high,primary,low,
laboureur,"Au minimum propriétaire d'animaux de labour, il se loue avec ses bêtes pour les travaux agricoles. au maximum propriétaire de terres qu'il cultive.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,high,low,worker,high,primary,low,
lampiste,"Responsable de la distribution des lampes aux mineurs (chaque mineur avait sa propre lampe) ; Chargé de l’entretien, de la réparation voire de la fabrication des lampes de la gare (des bureaux, des quais, des trottoirs), le lampiste veille notamment au bon fonctionnement de la “lampe de queue”. cette lampe rouge,accrochée au wagon de queue, signale non seulement que le train est complet mais aussi, sert à l’aiguilleur du poste suivant à vérifier que des wagons ne se sont pas décrochés en cours de route.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,low,worker,high,primary,low,
machiniste,"Ouvrier qui est responsable de la cage, avec le receveur. Métier dans les mines.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,low,low,worker,high,primary,low,
meunier,,,medium,low,worker,high,primary,low,
pêcheur,"personne capturant des poissons ou coquillages, à bord d'un bateau",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,high,low,worker,high,primary,low,
vigneron,,,high,medium,worker,high,primary,low,
vigneronne,,,high,medium,worker,high,primary,low,
garde champêtre,,,high,low,worker,low,primary,low,
garde forestier,,,high,low,worker,high,primary,low,
ajusteur,Un ajusteur est un ouvrier dont le métier est l'ajustage de pièces mécaniques,https://fr.wikipedia.org/wiki/Ajusteur,medium,low,worker,high,secondary,low,industrie
amidonnier,Fabricant d'amidon et de creton (résidus des suifs).,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres?name-directory-search-value=amidonnier&dir=7#name_directory_position7,medium,low,worker,high,secondary,low,alimentation
ancien mécanicien,mécanicien,,medium,medium,worker,high,secondary,low,industrie
architecte,,,high,high,boss,low,secondary,high,bâtiment
